#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Sep 24 22:58:34 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       host_map.ncd
#OUTPUT FILE:      host_pad.csv
#PART TYPE:        xc3s200a
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
P4,PMOD<1>,IOB,IO_L01N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,PMOD<0>,IOB,IO_L02P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,PMOD<2>,IOB,IO_L02N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P7,BTN<2>,IBUF,IP_3/VREF_3,INPUT,LVTTL,3,,,,IBUF,,LOCATED,NO,NONE,
P8,,,GND,,,,,,,,,,,,
P9,,DIFFMLR,IO_L03P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P10,,DIFFSLR,IO_L03N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P11,,,VCCO_3,,,3,,,,,3.30,,,,
P12,,DIFFMLR,IO_L04P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P13,LED<0>,IOB,IO_L04N_3/IRDY2/LHCLK3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,LED<1>,IOB,IO_L05P_3/TRDY2/LHCLK6,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,HSYNC,IOB,IO_L05N_3/LHCLK7,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,,,VCCINT,,,,,,,,1.2,,,,
P18,,,GND,,,,,,,,,,,,
P19,VSYNC,IOB,IO_L06P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P20,RED<0>,IOB,IO_L06N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P21,,DIFFMI_NDT,IP_3,UNUSED,,3,,,,,,,,,
P22,,,VCCAUX,,,,,,,,2.5,,,,
P23,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
P24,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
P25,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P26,,,VCCO_2,,,2,,,,,3.30,,,,
P27,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
P28,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
P29,,DIFFSTB,IO_L03N_2/VS2,UNUSED,,2,,,,,,,,,
P30,,DIFFMTB,IO_L04P_2/VS1,UNUSED,,2,,,,,,,,,
P31,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
P32,RED<1>,IOB,IO_L05P_2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P33,RED<2>,IOB,IO_L05N_2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,GRN<0>,IOB,IO_L06P_2/D7,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,GRN<1>,IOB,IO_L06N_2/D6,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,GRN<2>,IOB,IO_L07P_2/D5,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P37,BLU<0>,IOB,IO_L07N_2/D4,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P38,,,VCCINT,,,,,,,,1.2,,,,
P39,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P40,BLU<1>,IOB,IO_L08P_2/GCLK14,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P41,USR_BTN,IBUF,IO_L08N_2/GCLK15,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P42,,,GND,,,,,,,,,,,,
P43,CLK,IBUF,IO_L09P_2/GCLK0,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P44,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,DIFFSTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFMTB,IO_L10P_2/INIT_B,UNUSED,,2,,,,,,,,,
P49,AN<1>,IOB,IO_L10N_2/D3,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P50,AN<0>,IOB,IO_L11P_2/D2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P51,,DIFFMTB,IO_L12P_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P52,SW<7>,IBUF,IO_L11N_2/D1,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P53,,DIFFSTB,IO_L12N_2/CCLK,UNUSED,,2,,,,,,,,,
P54,,,DONE,,,,,,,,,,,,
P55,,,VCCAUX,,,,,,,,2.5,,,,
P56,SW<6>,IBUF,IO_L01P_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P57,SW<5>,IBUF,IO_L01N_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P58,,,GND,,,,,,,,,,,,
P59,SW<0>,IBUF,IO_L02P_1/RHCLK0,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P60,SW<1>,IBUF,IO_L02N_1/RHCLK1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P61,SW<2>,IBUF,IO_L03P_1/RHCLK2,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P62,SW<3>,IBUF,IO_L03N_1/TRDY1/RHCLK3,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P63,,,GND,,,,,,,,,,,,
P64,SW<4>,IBUF,IO_L04P_1/IRDY1/RHCLK6,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P65,A_TO_G<3>,IOB,IO_L04N_1/RHCLK7,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P66,,,VCCINT,,,,,,,,1.2,,,,
P67,,,VCCO_1,,,1,,,,,3.30,,,,
P68,BTN<0>,IBUF,IP_1/VREF_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P69,,,GND,,,,,,,,,,,,
P70,A_TO_G<2>,IOB,IO_L05P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P71,A_TO_G<1>,IOB,IO_L05N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P72,A_TO_G<0>,IOB,IO_L06P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P73,DOT,IOB,IO_L06N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P74,,,GND,,,,,,,,,,,,
P75,,,TDO,,,,,,,,,,,,
P76,,,TCK,,,,,,,,,,,,
P77,A_TO_G<4>,IOB,IO_L01P_0/VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P78,A_TO_G<5>,IOB,IO_L01N_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P79,,,VCCO_0,,,0,,,,,3.30,,,,
P80,,,GND,,,,,,,,,,,,
P81,,,VCCINT,,,,,,,,1.2,,,,
P82,BTN<3>,IBUF,IP_0/VREF_0,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P83,A_TO_G<6>,IOB,IO_L02P_0/GCLK4,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P84,AN<3>,IOB,IO_L02N_0/GCLK5,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P85,AN<2>,IOB,IO_L03P_0/GCLK6,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P86,,DIFFSTB,IO_L03N_0/GCLK7,UNUSED,,0,,,,,,,,,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMTB,IO_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,PMOD<7>,IBUF,IO_L04N_0/GCLK9,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P90,PMOD<6>,IBUF,IO_0/GCLK11,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P91,,,GND,,,,,,,,,,,,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,PMOD<5>,IBUF,IO_L05P_0,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P94,PMOD<4>,IBUF,IO_L05N_0,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P95,,,GND,,,,,,,,,,,,
P96,,,VCCO_0,,,0,,,,,3.30,,,,
